G( F LPS && Phagocyte > 0 && (Phagocyte U AntiInflam) && F ActPhag && F Damage && F Proinflam)
LPS Phagocyte ActPhag AntiInflam Damage Proinflam
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 73.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
0.0 74.0 0.0 0.0 0.0 0.0
